,"Total Assets, £",Government debt ,Other Government securities ,Other securities ,Coin and bullion,Notes in the Bank ,,Notes In circulation ,Notes in the Bank ,Capital ,Rest ,Deposits ,o/w Public deposits,o/w Special deposits,o/w Bankers deposits,Other accounts,7 day and other Bills ,Total Liabilities,Check Assets=Liabilities
1696,"3,181,978","1,200,000","1,566,262","157,358","258,358",,,"2,011,032",,"720,000","41,073","409,873",,,,,,"3,181,978",0
1697,"3,462,720","1,200,000","1,874,226","112,609","275,885",,,"1,937,400",,"1,200,000",,"325,320",,,,,,"3,462,720",0
1698,"4,213,750","1,200,000","2,404,014","180,449","429,287",,,"1,742,504",,"2,201,172","108,890","161,184",,,,,,"4,213,750",0
1699,"4,155,276","1,200,000","2,185,856","209,383","474,037","86,000",,"1,631,651","86,000","2,201,172","92,138","144,315",,,,,,"4,155,276",0
1700,"4,122,808","1,200,000","2,310,502","311,474","208,832","92,000",,"1,616,839","92,000","2,201,172","94,767","118,030",,,,,,"4,122,808",0
1701,"4,478,424","1,200,000","2,426,227","256,374","580,823","15,000",,"1,640,264","15,000","2,201,172","81,830","540,158",,,,,,"4,478,424",0
1702,"4,514,486","1,200,000","2,026,605","266,493","951,388","70,000",,"1,964,003","70,000","2,201,172","96,655","182,656",,,,,,"4,514,486",0
1703,"4,692,677","1,200,000","2,000,573","439,239","1,010,865","42,000",,"2,071,797","42,000","2,201,172","92,925","284,783",,,,,,"4,692,677",0
1704,"4,099,970","1,200,000","1,744,520","647,741","455,709","52,000",,"1,576,671","52,000","2,201,172","80,694","189,433",,,,,,"4,099,970",0
1705,"4,528,196","1,200,000","1,685,296","800,755","737,145","105,000",,"1,896,957","105,000","2,201,172","71,864","253,203",,,,,,"4,528,196",0
1706,"4,151,783","1,200,000","1,388,402","1,132,949","338,432","92,000",,"1,560,214","92,000","2,201,172","74,613","223,784",,,,,,"4,151,783",0
1707,"3,741,839","1,200,000","1,811,375","255,135","433,329","42,000",,"1,769,967","42,000","1,200,000","78,397","651,475",,,,,,"3,741,839",0
1708,"4,082,398","1,200,000","1,821,950","494,127","446,321","120,000",,"1,399,041","120,000","1,200,000","71,225","1,292,132",,,,,,"4,082,398",0
1709,"6,137,425","1,600,000","3,110,417","784,915","362,093","280,000",,"963,875","280,000","4,402,343","150,686","340,521",,,,,,"6,137,425",0
1710,"6,205,627","3,375,028","1,763,767","771,170","105,662","190,000",,"598,230","190,000","5,058,547","143,511","215,339",,,,,,"6,205,627",0
1711,"7,006,363","3,375,028","2,149,154","643,385","666,796","172,000",,"729,634","172,000","5,559,996","170,495","374,238",,,,,,"7,006,363",0
1712,"8,292,545","3,375,028","2,585,036","1,288,487","763,994","280,000",,"1,937,601","280,000","5,559,996","183,942","331,006",,,,,,"8,292,545",0
1713,"7,244,640","3,375,028","1,136,609","1,647,368","875,635","210,000",,"803,613","210,000","5,559,996","193,872","477,159",,,,,,"7,244,640",0
1714,"8,942,721","3,375,028","2,423,694","1,732,811","1,152,188","259,000",,"1,512,188","259,000","5,559,996","190,523","1,421,014",,,,,,"8,942,721",0
1715,"7,380,719","3,375,028","1,769,385","1,054,679","914,627","267,000",,"828,451","267,000","5,559,996","214,620","510,652",,,,,,"7,380,719",0
1716,"9,109,832","3,375,028","3,101,308","650,642","1,592,854","390,000",,"1,763,232","390,000","5,559,996","218,786","1,177,818",,,,,,"9,109,832",0
1717,"8,933,643","3,375,028","2,666,869","471,613","1,914,133","506,000",,"1,707,434","506,000","5,559,996","232,248","927,965",,,,,,"8,933,643",0
1718,"8,466,931","5,375,028","1,121,570","797,647","851,686","321,000",,"1,494,042","321,000","5,559,996","216,195","875,698",,,,,,"8,466,931",0
1719,"8,582,333","5,375,028","324,197","1,220,012","1,313,096","350,000",,"1,596,954","350,000","5,559,996","171,910","903,473",,,,,,"8,582,333",0
1720,"10,380,847","5,375,028","624,836","2,837,274","1,000,709","543,000",,"2,493,968","543,000","5,559,996","145,062","1,638,821",,,,,,"10,380,847",0
1721,"9,371,246","5,375,028","893,407","1,770,422","1,071,389","261,000",,"1,950,509","261,000","5,559,996","132,885","1,465,799",,,,,"1,057","9,371,246",0
1722,"10,914,033","5,375,028","2,751,945","1,227,980","1,314,080","245,000",,"2,761,208","245,000","5,559,996","166,043","2,181,063",,,,,723,"10,914,033",0
1723,"13,394,876","5,375,028","4,525,530","1,616,226","1,719,092","159,000",,"3,323,374","159,000","5,559,996","410,295","3,942,169",,,,,42,"13,394,876",0
1724,"15,865,782","5,375,028","6,896,203","1,558,721","1,937,830","98,000",,"3,759,892","98,000","5,559,996","537,070","5,910,799",,,,,25,"15,865,782",0
1725,"14,772,328","9,375,028","3,254,354","862,515","1,197,431","83,000",,"3,237,477","83,000","8,959,996","283,003","2,185,735",,,,,"23,117","14,772,328",0
1726,"15,021,560","9,375,028","2,673,765","946,650","1,863,117","163,000",,"2,986,573","163,000","8,959,996","310,935","2,598,081",,,,,"2,975","15,021,560",0
1727,"17,121,338","9,375,028","3,534,343","857,626","3,161,341","193,000",,"4,465,241","193,000","8,959,996","303,019","3,180,479",,,,,"19,603","17,121,338",0
1728,"16,970,764","10,125,027","3,577,215","557,935","2,489,587","221,000",,"4,279,876","221,000","8,959,996","282,920","3,213,848",,,,,"13,124","16,970,764",0
1729,"16,404,102","10,100,000","2,910,190","934,738","2,314,174","145,000",,"4,159,916","145,000","8,959,996","289,977","2,809,012",,,,,"40,201","16,404,102",0
1730,"16,654,070","10,100,000","3,114,345","977,648","2,207,077","255,000",,"4,381,000","255,000","8,959,996","297,661","2,724,338",,,,,"36,075","16,654,070",0
1731,"16,748,063","10,100,000","2,831,606","969,095","2,718,362","129,000",,"5,201,861","129,000","8,959,996","295,357","2,113,630",,,,,"48,219","16,748,063",0
1732,"17,170,934","10,100,000","2,621,294","1,064,914","3,296,726","88,000",,"4,547,700","88,000","8,959,996","279,966","3,250,370",,,,,"44,902","17,170,934",0
1733,"16,918,787","10,100,000","2,337,512","751,348","3,430,927","299,000",,"4,487,251","299,000","8,959,996","274,721","2,841,870",,,,,"55,949","16,918,787",0
1734,"17,707,312","10,100,000","2,948,515","664,319","3,886,478","108,000",,"4,586,840","108,000","8,959,996","277,676","3,689,502",,,,,"85,298","17,707,312",0
1735,"17,766,976","10,100,000","3,178,500","672,687","3,735,789","80,000",,"4,635,755","80,000","8,959,996","283,822","3,704,402",,,,,"103,001","17,766,976",0
1736,"17,882,281","10,100,000","3,146,264","561,999","3,988,018","86,000",,"4,974,206","86,000","8,959,996","290,680","3,467,827",,,,,"103,572","17,882,281",0
1737,"17,239,857","10,100,000","3,037,964","678,544","3,317,349","106,000",,"4,314,498","106,000","8,959,996","308,940","3,450,025",,,,,"100,398","17,239,857",0
1738,"17,433,637","10,100,000","3,331,766","564,927","3,354,944","82,000",,"4,499,928","82,000","8,959,996","307,829","3,474,191",,,,,"109,693","17,433,637",0
1739,"17,131,876","9,100,000","3,245,666","618,045","4,087,165","81,000",,"4,033,021","81,000","8,959,996","307,477","3,630,772",,,,,"119,610","17,131,876",0
1740,"17,775,373","9,100,000","3,054,899","562,482","4,900,992","157,000",,"4,349,366","157,000","8,959,996","307,652","3,906,527",,,,,"94,832","17,775,373",0
1741,"17,706,937","9,100,000","3,814,476","653,662","4,054,799","84,000",,"3,982,296","84,000","8,959,996","300,013","4,278,272",,,,,"102,360","17,706,937",0
1742,"18,407,960","9,100,000","5,083,795","645,059","3,424,106","155,000",,"4,781,753","155,000","8,959,996","324,836","4,056,530",,,,,"129,845","18,407,960",0
1743,"18,405,578","10,700,000","4,398,942","609,409","2,603,227","94,000",,"4,111,574","94,000","9,800,000","352,385","3,908,805",,,,,"138,814","18,405,578",0
1744,"18,338,336","10,700,000","5,504,351","283,043","1,731,942","119,000",,"4,154,871","119,000","9,800,000","369,630","3,778,911",,,,,"115,924","18,338,336",0
1745,"16,793,084","10,700,000","4,816,021","381,105","807,958","88,000",,"3,343,182","88,000","9,800,000","346,071","3,093,657",,,,,"122,174","16,793,084",0
1746,"18,383,535","11,686,800","3,934,623","355,577","2,334,535","72,000",,"3,772,087","72,000","9,800,000","307,865","4,361,163",,,,,"70,420","18,383,535",0
1747,"18,156,162","11,686,800","3,581,632","504,263","2,335,467","48,000",,"3,553,624","48,000","10,780,000","279,482","3,396,366",,,,,"98,690","18,156,162",0
1748,"17,585,986","11,686,800","3,021,293","610,523","2,179,370","88,000",,"3,676,747","88,000","10,780,000","279,666","2,648,600",,,,,"112,973","17,585,986",0
1749,"18,216,328","11,686,800","4,025,697","351,118","2,061,713","91,000",,"4,030,890","91,000","10,780,000","338,234","2,823,701",,,,,"152,503","18,216,328",0
1750,"18,402,414","11,686,800","3,944,309","731,218","1,959,087","81,000",,"4,134,529","81,000","10,780,000","357,514","2,865,402",,,,,"183,969","18,402,414",0
1751,"19,394,967","11,686,800","4,192,735","427,850","2,969,582","118,000",,"5,041,635","118,000","10,780,000","329,821","2,971,832",,,,,"153,679","19,394,967",0
1752,"19,165,593","11,686,800","4,194,369","368,592","2,729,832","186,000",,"4,554,136","186,000","10,780,000","289,975","3,159,259",,,,,"196,223","19,165,593",0
1753,"18,287,033","11,686,800","3,542,778","683,244","2,289,211","85,000",,"4,206,217","85,000","10,780,000","262,045","2,739,695",,,,,"214,076","18,287,033",0
1754,"17,919,033","11,686,800","2,696,788","350,648","3,105,797","79,000",,"3,889,653","79,000","10,780,000","309,937","2,668,810",,,,,"191,633","17,919,033",0
1755,"18,552,119","11,686,800","2,348,537","624,681","3,789,101","103,000",,"3,933,276","103,000","10,780,000","284,580","3,269,256",,,,,"182,007","18,552,119",0
1756,"19,487,255","11,686,800","3,010,294","642,840","4,034,321","113,000",,"4,357,143","113,000","10,780,000","258,837","3,819,059",,,,,"159,216","19,487,255",0
1757,"20,413,030","11,686,800","3,962,700","399,363","4,269,167","95,000",,"4,962,049","95,000","10,780,000","265,292","4,122,788",,,,,"187,901","20,413,030",0
1758,"19,465,192","11,686,800","3,947,797","1,490,356","2,239,239","101,000",,"4,639,045","101,000","10,780,000","294,831","3,425,249",,,,,"225,067","19,465,192",0
1759,"18,873,955","11,686,800","3,607,922","1,244,533","2,207,700","127,000",,"4,644,816","127,000","10,780,000","363,444","2,793,719",,,,,"164,976","18,873,955",0
1760,"19,245,046","11,686,800","3,768,488","1,034,217","2,628,541","127,000",,"4,809,102","127,000","10,780,000","297,447","3,104,315",,,,,"127,182","19,245,046",0
1761,"19,931,213","11,686,800","3,868,482","1,992,567","2,020,364","363,000",,"5,077,001","363,000","10,780,000","324,864","3,216,664",,,,,"169,684","19,931,213",0
1762,"21,012,763","11,686,800","3,308,000","2,446,369","3,053,594","518,000",,"5,750,524","518,000","10,780,000","483,725","3,344,058",,,,,"136,456","21,012,763",0
1763,"19,677,627","11,686,800","4,576,003","2,914,852","361,972","138,000",,"4,992,039","138,000","10,780,000","515,500","2,929,525",,,,,"322,563","19,677,627",0
1764,"20,357,108","11,686,800","4,310,900","2,397,037","1,753,371","209,000",,"5,957,440","209,000","10,780,000","511,910","2,645,513",,,,,"253,245","20,357,108",0
1765,,,,,,,,,,,,,,,,,,,0
1766,"19,287,765","11,686,800","2,989,835","2,512,142","1,870,988","228,000",,"5,276,330","228,000","10,780,000","483,864","2,178,321",,,,,"341,250","19,287,765",0
1767,"19,209,397","11,686,800","3,577,588","2,923,300","817,709","204,000",,"5,179,135","204,000","10,780,000","386,506","2,327,897",,,,,"331,859","19,209,397",0
1768,"19,998,476","11,686,800","4,089,527","2,461,423","1,563,726","197,000",,"5,472,756","197,000","10,780,000","499,459","2,743,025",,,,,"306,236","19,998,476",0
1769,"19,754,323","11,686,800","4,204,551","2,272,892","1,379,080","211,000",,"5,409,902","211,000","10,780,000","437,441","2,618,685",,,,,"297,295","19,754,323",0
1770,"19,859,394","11,686,800","3,310,903","3,130,388","1,473,303","258,000",,"4,928,926","258,000","10,780,000","613,661","2,970,514",,,,,"308,293","19,859,394",0
1771,"21,536,988","11,686,800","3,740,609","3,078,474","2,298,105","733,000",,"6,524,495","733,000","10,780,000","592,577","2,608,622",,,,,"298,294","21,536,988",0
1772,"20,024,400","11,686,800","2,971,109","3,274,368","1,613,123","479,000",,"5,653,629","479,000","10,780,000","665,976","2,137,262",,,,,"308,533","20,024,400",0
1773,"20,220,496","11,686,800","3,680,700","3,313,160","1,191,836","348,000",,"5,738,104","348,000","10,780,000","648,412","2,407,020",,,,,"298,960","20,220,496",0
1774,,,,,,,,,,,,,,,,,,,0
1775,"23,643,108","11,686,800","3,608,655","1,169,978","6,942,675","235,000",,"8,505,360","235,000","10,780,000","857,893","2,634,283",,,,,"630,572","23,643,108",0
1776,"22,987,965","11,686,800","4,346,021","1,300,583","5,378,561","276,000",,"8,029,964","276,000","10,780,000","884,885","2,346,354",,,,,"670,762","22,987,965",0
1777,"23,209,892","11,686,800","5,878,036","1,494,670","3,905,386","245,000",,"8,047,117","245,000","10,780,000","1,026,370","2,446,287",,,,,"665,118","23,209,892",0
1778,"22,484,217","11,686,800","6,006,577","2,503,143","2,010,697","277,000",,"6,951,311","277,000","10,780,000","1,128,733","2,858,153",,,,,"489,020","22,484,217",0
1779,"24,307,071","11,686,800","7,341,477","1,215,638","3,711,156","352,000",,"8,576,757","352,000","10,780,000","1,276,296","2,886,159",,,,,"435,859","24,307,071",0
1780,"24,055,096","11,686,800","7,518,806","902,204","3,585,286","362,000",,"8,032,060","362,000","10,780,000","1,347,409","3,154,893",,,,,"378,734","24,055,096",0
1781,"23,683,201","11,686,800","6,365,136","1,712,267","3,284,998","634,000",,"6,740,708","634,000","10,780,000","1,576,801","3,599,947",,,,,"351,745","23,683,201",0
1782,"25,424,492","11,686,800","8,330,539","2,692,391","2,161,762","553,000",,"7,672,875","553,000","10,780,000","1,792,749","4,269,863",,,,,"356,005","25,424,492",0
1783,"24,164,413","11,686,800","8,119,298","2,807,128","1,321,187","230,000",,"7,306,106","230,000","11,642,400","1,976,880","2,640,045",,,,,"368,982","24,164,413",0
1784,"22,902,178","11,686,800","6,486,678","3,858,488","657,212","213,000",,"5,892,830","213,000","11,642,400","2,168,378","2,675,635",,,,,"309,935","22,902,178",0
1785,"24,144,813","11,686,800","3,769,651","4,870,156","2,786,206","1,032,000",,"5,619,759","1,032,000","11,642,400","2,321,061","3,226,263",,,,,"303,330","24,144,813",0
1786,"26,153,938","11,686,800","4,178,990","3,286,290","6,022,858","979,000",,"7,165,963","979,000","11,642,400","2,598,708","3,351,865",,,,,"416,002","26,153,938",0
1787,"26,524,572","11,686,800","5,027,819","3,433,510","5,735,443","641,000",,"7,777,335","641,000","11,642,400","2,753,817","3,157,512",,,,,"552,508","26,524,572",0
1788,"28,111,962","11,686,800","6,012,224","3,728,387","5,838,551","846,000",,"8,964,685","846,000","11,642,400","2,869,776","3,192,659",,,,,"596,442","28,111,962",0
1789,"28,707,728","11,686,800","6,370,580","2,432,388","7,305,960","912,000",,"9,219,375","912,000","11,642,400","2,844,834","3,501,280",,,,,"587,839","28,707,728",0
1790,"28,873,393","11,686,800","6,016,979","1,725,742","8,688,872","755,000",,"9,342,717","755,000","11,642,400","2,701,308","3,734,143",,,,,"697,825","28,873,393",0
1791,"30,944,335","11,686,800","8,541,192","1,929,449","7,963,894","823,000",,"10,739,207","823,000","11,642,400","2,668,301","4,371,425",,,,,"700,002","30,944,335",0
1792,"29,626,042","11,686,800","7,900,687","2,867,435","6,526,120","645,000",,"10,545,356","645,000","11,642,400","2,705,869","3,325,388",,,,,"762,029","29,626,042",0
1793,"30,605,179","11,686,800","7,677,493","6,168,938","4,091,948","980,000",,"11,238,779","980,000","11,642,400","2,780,570","3,313,296",,,,,"650,134","30,605,179",0
1794,"29,530,932","11,686,800","5,246,448","4,621,098","7,079,586","897,000",,"10,130,159","897,000","11,642,400","2,875,832","3,371,677",,,,,"613,864","29,530,932",0
1795,"33,820,866","11,686,800","11,327,186","3,568,634","6,180,246","1,058,000",,"13,451,356","1,058,000","11,642,400","2,948,527","4,154,422",,,,,"566,161","33,820,866",0
1796,"30,224,765","11,686,800","10,549,256","4,188,991","2,558,718","1,241,000",,"10,073,709","1,241,000","11,642,400","3,247,596","3,364,246",,,,,"655,814","30,224,765",0
1797,"28,884,074","11,686,800","9,986,542","5,144,199","1,108,533","958,000",,"9,187,884","958,000","11,642,400","3,357,611","3,251,281",,,,,"486,898","28,884,074",0
1798,"33,243,615","11,686,800","8,513,378","5,564,154","5,831,283","1,648,000",,"12,541,854","1,648,000","11,642,400","3,383,716","3,473,661",,,,,"553,984","33,243,615",0
1799,"34,765,217","11,686,800","8,161,517","5,594,192","7,563,708","1,759,000",,"12,351,152","1,759,000","11,642,400","3,511,317","4,892,703",,,,,"608,645","34,765,217",0
1800,"38,823,594","11,686,800","11,092,185","7,490,361","6,144,248","2,410,000",,"16,122,102","2,410,000","11,642,400","3,661,150","4,265,575",,,,,"722,367","38,823,594",0
1801,"42,441,837","11,686,800","13,472,068","9,886,381","4,640,122","2,756,466",,"15,263,595","2,756,466","11,642,400","4,105,730","7,723,957",,,,,"949,689","42,441,837",0
1802,"37,725,326","11,686,800","11,565,984","7,776,650","4,152,957","2,542,935",,"14,381,794","2,542,935","11,642,400","4,067,685","4,285,423",,,,,"805,089","37,725,326",0
1803,"38,060,027","11,686,800","6,082,924","14,505,548","3,776,755","2,008,000",,"14,499,651","2,008,000","11,642,400","4,321,489","4,768,203",,,,,"820,284","38,060,027",0
1804,"40,559,504","11,686,800","10,636,319","12,311,339","3,386,046","2,539,000",,"16,237,530","2,539,000","11,642,400","4,616,457","4,683,822",,,,,"840,295","40,559,504",0
1805,"45,003,024","11,686,800","13,740,648","11,784,778","5,883,798","1,907,000",,"16,856,156","1,907,000","11,642,400","4,590,404","8,992,049",,,,,"1,015,015","45,003,024",0
1806,"42,072,980","11,686,800","10,509,024","11,947,066","5,988,090","1,942,000",,"17,011,486","1,942,000","11,642,400","4,867,353","5,891,103",,,,,"718,638","42,072,980",0
1807,"41,917,426","11,686,800","8,139,436","13,945,995","6,142,843","2,002,352",,"16,224,663","2,002,352","11,642,400","4,771,300","6,550,689",,,,,"726,022","41,917,426",0
1808,"44,202,886","11,686,800","8,774,513","13,229,453","7,855,720","2,656,400",,"15,717,115","2,656,400","11,642,400","5,088,726","8,376,492",,,,,"721,753","44,202,886",0
1809,"43,155,535","11,686,800","10,340,345","14,335,231","4,492,933","2,300,226",,"17,623,204","2,300,226","11,642,400","5,081,087","5,588,954",,,,,"919,664","43,155,535",0
1810,"50,659,376","11,686,800","7,795,929","21,015,251","3,501,412","6,659,984",,"20,120,486","6,659,984","11,642,400","5,403,074","5,934,314",,,,,"899,118","50,659,376",0
1811,"56,430,733","11,686,800","12,542,890","19,881,067","3,350,945","8,969,031",,"22,230,049","8,969,031","11,642,400","5,667,420","6,791,658",,,,,"1,130,175","56,430,733",0
1812,"58,510,028","11,686,800","17,709,503","15,861,391","2,983,191","10,269,143",,"22,358,160","10,269,143","11,642,400","6,005,965","7,184,199",,,,,"1,050,161","58,510,028",0
1813,"57,212,781","11,686,800","20,744,342","12,829,210","2,919,501","9,032,928",,"22,186,162","9,032,928","11,642,400","6,336,343","6,990,179",,,,,"1,024,769","57,212,781",0
1814,"60,427,802","11,686,800","18,957,351","18,239,965","2,293,637","9,250,049",,"23,707,693","9,250,049","11,642,400","6,937,801","7,796,467",,,,,"1,093,392","60,427,802",0
1815,"64,779,075","11,686,800","23,071,314","16,991,890","2,052,815","10,976,256",,"26,091,322","10,976,256","11,642,400","7,631,516","7,267,252",,,,,"1,170,329","64,779,075",0
1816,"65,492,720","11,686,800","14,847,087","24,188,823","4,668,884","10,101,126",,"25,696,230","10,101,126","11,642,400","8,639,679","8,095,889",,,,,"1,317,396","65,492,720",0
1817,"82,515,705","14,686,800","21,302,791","8,604,341","9,686,671","28,235,102",,"26,017,722","28,235,102","14,553,000","5,736,093","6,593,604",,,,,"1,380,184","82,515,705",0
1818,"64,384,851","14,686,800","24,423,359","3,858,174","10,055,469","11,361,049",,"25,933,446","11,361,049","14,553,000","5,192,273","5,507,550",,,,,"1,837,533","64,384,851",0
1819,"59,054,470","14,686,800","20,087,990","8,971,217","4,184,628","11,123,835",,"23,518,943","11,123,835","14,553,000","4,099,558","4,151,378",,,,,"1,607,756","59,054,470",0
1820,"54,957,197","14,686,800","20,965,990","4,289,502","4,963,258","10,051,647",,"22,082,909","10,051,647","14,553,000","3,520,879","3,347,555",,,,,"1,401,207","54,957,197",0
1821,"57,086,079","14,686,800","16,010,990","4,509,738","12,011,650","9,866,901",,"22,281,707","9,866,901","14,553,000","3,158,366","5,622,896",,,,,"1,603,209","57,086,079",0
1822,"51,316,420","14,686,800","12,476,900","3,292,394","11,127,141","9,733,185",,"17,068,145","9,733,185","14,553,000","3,674,944","4,689,941",,,,,"1,597,205","51,316,420",0
1823,"52,898,145","14,686,800","13,658,830","4,430,115","10,481,220","9,641,180",,"16,655,795","9,641,180","14,553,000","3,130,621","7,181,098",,,,,"1,736,451","52,898,145",0
1824,"54,600,395","14,686,800","14,341,128","4,347,585","13,859,552","7,365,330",,"17,567,496","7,365,330","14,553,000","2,847,227","10,097,851",,,,,"2,169,491","54,600,395",0
1825,"55,645,776","14,686,800","19,447,588","5,369,943","8,779,100","7,362,345",,"18,435,881","7,362,345","14,553,000","2,807,888","10,168,784",,,,,"2,317,878","55,645,776",0
1826,"60,362,490","14,686,800","20,573,258","12,088,464","2,582,573","10,431,395",,"22,996,897","10,431,395","14,553,000","2,974,241","6,935,943",,,,,"2,471,014","60,362,490",0
1827,"65,132,721","14,686,800","18,685,015","4,705,399","10,164,470","16,891,037",,"19,838,570","16,891,037","14,553,000","2,996,414","8,801,660",,,,,"2,052,040","65,132,721",0
1828,"67,043,792","14,686,800","19,818,028","3,663,435","10,356,990","18,518,539",,"19,646,250","18,518,539","14,553,000","2,793,403","9,198,140",,,,,"2,334,460","67,043,792",0
1829,"64,675,414","14,686,800","19,736,665","5,548,732","6,855,439","17,847,778",,"17,397,150","17,847,778","14,553,000","2,849,832","9,553,954",,,,,"2,473,700","64,675,414",0
1830,"69,897,336","14,686,800","20,038,890","3,998,461","9,221,980","21,951,205",,"17,757,290","21,951,205","14,553,000","2,579,391","10,763,010",,,,,"2,293,440","69,897,336",0
1831,"70,220,041","14,686,800","19,927,574","5,147,606","8,217,056","22,241,005",,"17,862,198","22,241,005","14,553,000","2,612,369","11,213,529",,,,,"1,737,940","70,220,041",0
1832,"70,356,983","14,686,800","18,497,450","5,688,543","5,306,848","26,177,342",,"16,400,618","26,177,342","14,553,000","2,637,762","8,937,171",,,,,"1,651,090","70,356,983",0
1833,"75,513,346","14,686,800","19,373,574","5,317,163","9,500,270","26,635,539",,"17,726,088","26,635,539","14,553,000","2,558,881","12,395,443",,,,,"1,644,395","75,513,346",0
1834,"74,079,419","14,686,800","18,123,800","8,391,071","8,537,393","24,340,355",,"17,688,316","24,340,355","14,553,000","2,576,759","13,356,394",,,,,"1,564,595","74,079,419",0
1835,"73,712,767","11,015,100","21,308,405","7,870,670","6,259,444","27,259,148",,"16,826,704","27,259,148","14,553,000","2,748,917","10,823,023",,,,,"1,501,975","73,712,767",0
1836,"76,006,493","11,015,100","19,647,299","11,225,156","7,888,707","26,230,231",,"16,848,027","26,230,231","14,553,000","2,798,492","14,322,538",,,,,"1,254,205","76,006,493",0
1837,"73,670,386","11,015,100","16,180,761","15,056,353","4,089,606","27,328,566",,"17,128,582","27,328,566","14,553,000","2,962,330","10,593,808",,,,,"1,104,100","73,670,386",0
1838,"78,384,910","11,015,100","17,137,396","8,501,220","10,524,522","31,206,672",,"17,692,070","31,206,672","14,553,000","2,817,124","11,022,124",,,,,"1,093,920","78,384,910",0
1839,"76,075,277","11,015,100","17,088,441","8,567,623","6,832,372","32,571,741",,"17,052,918","32,571,741","14,553,000","2,709,399","8,153,389",,,,,"1,034,830","76,075,277",0
1840,"71,930,354","11,015,100","17,325,586","9,045,136","4,395,509","30,149,023",,"15,720,413","30,149,023","14,553,000","2,878,073","7,801,320",,,,,"828,525","71,930,354",0
1841,"74,582,384","11,015,100","17,032,742","8,184,540","4,464,649","33,885,353",,"15,533,268","33,885,353","14,553,000","2,802,735","6,930,298",,,,,"877,730","74,582,384",0
1842,"76,547,247","11,015,100","17,301,353","8,264,236","6,360,727","33,605,831",,"16,161,607","33,605,831","14,553,000","2,818,010","8,556,744",,,,,"852,055","76,547,247",0
1843,"82,766,332","11,015,100","20,516,292","6,155,980","11,149,789","33,929,171",,"19,297,029","33,929,171","14,553,000","2,737,228","11,262,564",,,,,"987,340","82,766,332",0
1844,"82,918,536","11,015,100","18,348,420","5,837,936","16,213,951","31,503,129",,"20,108,508","31,503,129","14,553,000","3,184,874","12,529,165",,,,,"1,039,860","82,918,536",0
1845,"62,649,391","11,015,100","16,507,279","10,784,494","15,453,303","8,889,215",,"19,790,305","8,889,215","14,553,000","3,252,281","15,179,555",,,,,"985,035","62,649,391",0
1846,"71,148,760","11,015,100","16,121,340","23,242,035","13,775,800","6,994,485",,"20,020,810","6,994,485","14,553,000","3,689,430","24,943,603",,,,,"947,432","71,148,760",0
1847,"59,870,856","11,015,100","14,974,979","15,819,148","12,044,934","6,016,695",,"19,333,125","6,016,695","14,553,000","3,899,220","15,250,182",,,,,"818,634","59,870,856",0
1848,"63,191,162","11,015,100","14,559,821","12,933,241","14,760,815","9,922,185",,"18,179,755","9,922,185","14,553,000","3,739,389","15,967,900",,,,,"828,933","63,191,162",0
1849,"63,548,951","11,015,100","17,059,083","9,872,296","15,329,532","10,272,940",,"18,132,445","10,272,940","14,553,000","3,514,565","15,958,671",,,,,"1,117,330","63,548,951",0
1850,"66,647,024","11,015,100","17,384,268","9,687,835","17,122,221","11,437,600",,"18,888,555","11,437,600","14,553,000","3,268,145","17,388,066",,,,,"1,111,658","66,647,024",0
1851,"63,765,926","11,015,100","17,130,596","12,135,618","14,435,537","9,049,075",,"18,713,010","9,049,075","14,553,000","3,273,872","17,114,533",,,,,"1,062,436","63,765,926",0
1852,"70,392,661","11,015,100","16,542,999","11,386,983","19,238,924","12,208,655",,"20,523,470","12,208,655","14,553,000","3,604,186","18,381,558",,,,,"1,121,792","70,392,661",0
1853,"70,268,142","11,015,100","16,473,753","14,926,214","18,190,805","9,662,270",,"21,990,050","9,662,270","14,553,000","3,247,336","19,459,672",,,,,"1,355,814","70,268,142",0
1854,"63,107,266","11,015,100","14,742,604","13,247,442","16,286,165","7,815,955",,"21,699,505","7,815,955","14,553,000","3,383,249","14,552,919",,,,,"1,102,638","63,107,266",0
1855,"60,406,783","11,015,100","14,524,440","14,522,432","13,044,626","7,300,185",,"19,061,870","7,300,185","14,553,000","3,303,241","15,304,637",,,,,"883,850","60,406,783",0
